Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,952.0mV,120.0mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.500000mV,2.500000mV
Time interval        :,200.00000uS,200.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-584.000000,2720.000000
2,-584.000000,2720.000000
3,-584.000000,2720.000000
4,-584.000000,2720.000000
5,-584.000000,2720.000000
6,-584.000000,2720.000000
7,-584.000000,2680.000000
8,-584.000000,2720.000000
9,-576.000000,2720.000000
10,-584.000000,2720.000000
11,-584.000000,2680.000000
12,-584.000000,2720.000000
13,-584.000000,2720.000000
14,-584.000000,2720.000000
15,-584.000000,2720.000000
16,-584.000000,2760.000000
17,-584.000000,2720.000000
18,-584.000000,2720.000000
19,-584.000000,2720.000000
20,-584.000000,2720.000000
21,-584.000000,2720.000000
22,-584.000000,2720.000000
23,-584.000000,2720.000000
24,-584.000000,2720.000000
25,-584.000000,2720.000000
26,-584.000000,2720.000000
27,-584.000000,2680.000000
28,-584.000000,2720.000000
29,-584.000000,2680.000000
30,-584.000000,2720.000000
31,-584.000000,2760.000000
32,-576.000000,2720.000000
33,-584.000000,2720.000000
34,-584.000000,2720.000000
35,-584.000000,2720.000000
36,-584.000000,2720.000000
37,-584.000000,2760.000000
38,-584.000000,2760.000000
39,-584.000000,2760.000000
40,-584.000000,2720.000000
41,-576.000000,2720.000000
42,-584.000000,2720.000000
43,-584.000000,2720.000000
44,-584.000000,2680.000000
45,-584.000000,2720.000000
46,-584.000000,2720.000000
47,-584.000000,2720.000000
48,-584.000000,2720.000000
49,-584.000000,2720.000000
50,-584.000000,2720.000000
51,-584.000000,2720.000000
52,-584.000000,2720.000000
53,-584.000000,2720.000000
54,-584.000000,2720.000000
55,-576.000000,2680.000000
56,-584.000000,2720.000000
57,-584.000000,2720.000000
58,-584.000000,2720.000000
59,-584.000000,2720.000000
60,-584.000000,2720.000000
61,-584.000000,2720.000000
62,-584.000000,2720.000000
63,-584.000000,2720.000000
64,-584.000000,2720.000000
65,-584.000000,2720.000000
66,-584.000000,2720.000000
67,-584.000000,2760.000000
68,-584.000000,2680.000000
69,-584.000000,2720.000000
70,-584.000000,2760.000000
71,-584.000000,2720.000000
72,-584.000000,2720.000000
73,-584.000000,2720.000000
74,-592.000000,2720.000000
75,-592.000000,2720.000000
76,-584.000000,2720.000000
77,-584.000000,2720.000000
78,-584.000000,2720.000000
79,-584.000000,2720.000000
80,-584.000000,2720.000000
81,-584.000000,2720.000000
82,-592.000000,2720.000000
83,-584.000000,2720.000000
84,-592.000000,2760.000000
85,-584.000000,2720.000000
86,-584.000000,2720.000000
87,-584.000000,2720.000000
88,-584.000000,2720.000000
89,-584.000000,2720.000000
90,-584.000000,2720.000000
91,-584.000000,2720.000000
92,-584.000000,2720.000000
93,-584.000000,2720.000000
94,-584.000000,2720.000000
95,-584.000000,2720.000000
96,-584.000000,2720.000000
97,-592.000000,2680.000000
98,-584.000000,2720.000000
99,-584.000000,2720.000000
100,-584.000000,2760.000000
101,-584.000000,2720.000000
102,-584.000000,2720.000000
103,-584.000000,2720.000000
104,-584.000000,2720.000000
105,-584.000000,2720.000000
106,-584.000000,2720.000000
107,-584.000000,2720.000000
108,-584.000000,2720.000000
109,-584.000000,2720.000000
110,-584.000000,2720.000000
111,-584.000000,2720.000000
112,-584.000000,2720.000000
113,-584.000000,2720.000000
114,-584.000000,2720.000000
115,-584.000000,2720.000000
116,-584.000000,2720.000000
117,-584.000000,2720.000000
118,-584.000000,2720.000000
119,-584.000000,2720.000000
120,-584.000000,2720.000000
121,-584.000000,2720.000000
122,-584.000000,2720.000000
123,-584.000000,2720.000000
124,-584.000000,2720.000000
125,-584.000000,2720.000000
126,-584.000000,2720.000000
127,-576.000000,2720.000000
128,-592.000000,2720.000000
129,-584.000000,2720.000000
130,-584.000000,2720.000000
131,-584.000000,2720.000000
132,-584.000000,2720.000000
133,-584.000000,2720.000000
134,-584.000000,2720.000000
135,-576.000000,2720.000000
136,-584.000000,2720.000000
137,-592.000000,2720.000000
138,-584.000000,2720.000000
139,-576.000000,2720.000000
140,-584.000000,2720.000000
141,-584.000000,2680.000000
142,-584.000000,2720.000000
143,-584.000000,2720.000000
144,-584.000000,2720.000000
145,-592.000000,2720.000000
146,-584.000000,2720.000000
147,-584.000000,2720.000000
148,-584.000000,2720.000000
149,-584.000000,2720.000000
150,-584.000000,2720.000000
151,-584.000000,2720.000000
152,-584.000000,2720.000000
153,-584.000000,2720.000000
154,-584.000000,2720.000000
155,-584.000000,2720.000000
156,-584.000000,2720.000000
157,-584.000000,2720.000000
158,-584.000000,2720.000000
159,-584.000000,2720.000000
160,-584.000000,2720.000000
161,-584.000000,2720.000000
162,-584.000000,2680.000000
163,-584.000000,2720.000000
164,-592.000000,2720.000000
165,-584.000000,2760.000000
166,-584.000000,2680.000000
167,-584.000000,2720.000000
168,-584.000000,2720.000000
169,-584.000000,2720.000000
170,-584.000000,2720.000000
171,-576.000000,2720.000000
172,-584.000000,2720.000000
173,-584.000000,2760.000000
174,-584.000000,2720.000000
175,-584.000000,2720.000000
176,-584.000000,2720.000000
177,-584.000000,2720.000000
178,-584.000000,2720.000000
179,-584.000000,2720.000000
180,-584.000000,2720.000000
181,-584.000000,2720.000000
182,-592.000000,2680.000000
183,-584.000000,2720.000000
184,-576.000000,2720.000000
185,-576.000000,2720.000000
186,-584.000000,2720.000000
187,-584.000000,2720.000000
188,-584.000000,2720.000000
189,-584.000000,2720.000000
190,-584.000000,2720.000000
191,-584.000000,2720.000000
192,-584.000000,2720.000000
193,-584.000000,2720.000000
194,-584.000000,2760.000000
195,-584.000000,2720.000000
196,-584.000000,2760.000000
197,-584.000000,2720.000000
198,-584.000000,2720.000000
199,-584.000000,2720.000000
200,-584.000000,2720.000000
201,-584.000000,2720.000000
202,-584.000000,2720.000000
203,-584.000000,2720.000000
204,-584.000000,2720.000000
205,-584.000000,2720.000000
206,-584.000000,2720.000000
207,-584.000000,2720.000000
208,-584.000000,2720.000000
209,-584.000000,2720.000000
210,-584.000000,2680.000000
211,-584.000000,2720.000000
212,-584.000000,2720.000000
213,-584.000000,2720.000000
214,-584.000000,2720.000000
215,-584.000000,2720.000000
216,-584.000000,2720.000000
217,-584.000000,2720.000000
218,-584.000000,2720.000000
219,-584.000000,2720.000000
220,-584.000000,2720.000000
221,-584.000000,2720.000000
222,-584.000000,2720.000000
223,-584.000000,2720.000000
224,-584.000000,2720.000000
225,-584.000000,2720.000000
226,-584.000000,2720.000000
227,-584.000000,2720.000000
228,-584.000000,2720.000000
229,-584.000000,2720.000000
230,-584.000000,2720.000000
231,-584.000000,2720.000000
232,-584.000000,2720.000000
233,-584.000000,2720.000000
234,-584.000000,2720.000000
235,-584.000000,2720.000000
236,-584.000000,2720.000000
237,-584.000000,2720.000000
238,-584.000000,2720.000000
239,-584.000000,2720.000000
240,-584.000000,2720.000000
241,-584.000000,2720.000000
242,-584.000000,2720.000000
243,-584.000000,2720.000000
244,-584.000000,2720.000000
245,-584.000000,2680.000000
246,-576.000000,2720.000000
247,-584.000000,2720.000000
248,-584.000000,2720.000000
249,-584.000000,2720.000000
250,-584.000000,2720.000000
251,-584.000000,2720.000000
252,-584.000000,2720.000000
253,-584.000000,2720.000000
254,-584.000000,2720.000000
255,-584.000000,2720.000000
256,-592.000000,2720.000000
257,-584.000000,2720.000000
258,-584.000000,2720.000000
259,-584.000000,2720.000000
260,-584.000000,2720.000000
261,-584.000000,2720.000000
262,-584.000000,2720.000000
263,-584.000000,2720.000000
264,-584.000000,2720.000000
265,-584.000000,2720.000000
266,-584.000000,2720.000000
267,-584.000000,2720.000000
268,-584.000000,2720.000000
269,-584.000000,2720.000000
270,-584.000000,2720.000000
271,-584.000000,2720.000000
272,-584.000000,2720.000000
273,-584.000000,2720.000000
274,-592.000000,2720.000000
275,-584.000000,2720.000000
276,-592.000000,2720.000000
277,-584.000000,2720.000000
278,-584.000000,2720.000000
279,-584.000000,2720.000000
280,-584.000000,2720.000000
281,-584.000000,2720.000000
282,-584.000000,2720.000000
283,-584.000000,2720.000000
284,-584.000000,2720.000000
285,-584.000000,2680.000000
286,-576.000000,2720.000000
287,-576.000000,2720.000000
288,-576.000000,2720.000000
289,-576.000000,2720.000000
290,-576.000000,2720.000000
291,-568.000000,2720.000000
292,-568.000000,2720.000000
293,-568.000000,2720.000000
294,-568.000000,2720.000000
295,-576.000000,2760.000000
296,-568.000000,2760.000000
297,-568.000000,2720.000000
298,-568.000000,2760.000000
299,-568.000000,2720.000000
300,-568.000000,2720.000000
301,-568.000000,2720.000000
302,-560.000000,2720.000000
303,-560.000000,2720.000000
304,-568.000000,2720.000000
305,-568.000000,2720.000000
306,-568.000000,2720.000000
307,-560.000000,2720.000000
308,-568.000000,2720.000000
309,-560.000000,2720.000000
310,-568.000000,2720.000000
311,-560.000000,2720.000000
312,-560.000000,2720.000000
313,-560.000000,2760.000000
314,-560.000000,2720.000000
315,-560.000000,2720.000000
316,-560.000000,2720.000000
317,-560.000000,2720.000000
318,-560.000000,2720.000000
319,-560.000000,2720.000000
320,-560.000000,2720.000000
321,-560.000000,2720.000000
322,-552.000000,2720.000000
323,-544.000000,2760.000000
