Channel              :,CH1,CH2
Frequency            :,  ?,  ?
Period               :,  ?,  ?
PK-PK                :,424.0mV,80.00mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,0.250000mV,2.500000mV
Time interval        :,200.00000uS,200.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
1,-104.000000,2960.000000
2,-104.000000,2960.000000
3,-100.000000,2960.000000
4,-96.000000,2960.000000
5,-104.000000,2960.000000
6,-100.000000,3000.000000
7,-100.000000,2960.000000
8,-100.000000,2960.000000
9,-96.000000,2960.000000
10,-100.000000,2960.000000
11,-100.000000,2960.000000
12,-96.000000,2960.000000
13,-96.000000,3000.000000
14,-100.000000,2960.000000
15,-96.000000,3000.000000
16,-96.000000,3000.000000
17,-100.000000,2960.000000
18,-100.000000,3000.000000
19,-104.000000,2960.000000
20,-100.000000,2960.000000
21,-96.000000,3000.000000
22,-96.000000,3000.000000
23,-104.000000,2960.000000
24,-104.000000,2960.000000
25,-100.000000,2960.000000
26,-100.000000,2960.000000
27,-100.000000,3000.000000
28,-96.000000,2960.000000
29,-100.000000,3000.000000
30,-104.000000,3000.000000
31,-92.000000,2960.000000
32,-100.000000,3000.000000
33,-100.000000,2960.000000
34,-96.000000,2960.000000
35,-100.000000,2960.000000
36,-96.000000,2960.000000
37,-100.000000,2960.000000
38,-100.000000,2960.000000
39,-104.000000,3000.000000
40,-100.000000,2960.000000
41,-96.000000,2960.000000
42,-96.000000,2960.000000
43,-100.000000,3000.000000
44,-96.000000,2960.000000
45,-100.000000,2960.000000
46,-100.000000,3000.000000
47,-100.000000,2960.000000
48,-100.000000,2960.000000
49,-96.000000,2960.000000
50,-100.000000,3000.000000
51,-96.000000,2960.000000
52,-100.000000,2960.000000
53,-100.000000,2960.000000
54,-100.000000,2960.000000
55,-96.000000,2960.000000
56,-100.000000,2960.000000
57,-100.000000,2960.000000
58,-100.000000,2960.000000
59,-104.000000,3000.000000
60,-104.000000,2960.000000
61,-96.000000,2960.000000
62,-100.000000,3000.000000
63,-92.000000,2960.000000
64,-100.000000,2960.000000
65,-96.000000,2960.000000
66,-100.000000,2960.000000
67,-100.000000,2960.000000
68,-100.000000,2960.000000
69,-100.000000,3000.000000
70,-104.000000,2960.000000
71,-104.000000,2960.000000
72,-104.000000,2960.000000
73,-100.000000,2960.000000
74,-100.000000,2960.000000
75,-96.000000,2960.000000
76,-96.000000,2960.000000
77,-100.000000,2960.000000
78,-96.000000,3000.000000
79,-100.000000,2960.000000
80,-100.000000,2960.000000
81,-92.000000,3000.000000
82,-100.000000,2960.000000
83,-104.000000,2960.000000
84,-100.000000,2960.000000
85,-100.000000,3000.000000
86,-96.000000,2960.000000
87,-96.000000,2960.000000
88,-100.000000,3000.000000
89,-100.000000,3000.000000
90,-100.000000,2960.000000
91,-96.000000,2960.000000
92,-100.000000,3000.000000
93,-96.000000,3000.000000
94,-96.000000,3000.000000
95,-96.000000,2960.000000
96,-96.000000,2960.000000
97,-96.000000,3000.000000
98,-104.000000,2960.000000
99,-100.000000,2960.000000
100,-104.000000,3000.000000
101,-100.000000,3000.000000
102,-100.000000,2960.000000
103,-100.000000,3000.000000
104,-104.000000,2960.000000
105,-100.000000,2960.000000
106,-100.000000,2960.000000
107,-96.000000,2960.000000
108,-100.000000,2960.000000
109,-96.000000,2960.000000
110,-100.000000,3000.000000
111,-96.000000,2960.000000
112,-96.000000,2960.000000
113,-96.000000,2960.000000
114,-100.000000,2960.000000
115,-100.000000,3000.000000
116,-96.000000,3000.000000
117,-104.000000,2960.000000
118,-96.000000,3000.000000
119,-100.000000,3000.000000
120,-96.000000,2960.000000
121,-100.000000,2960.000000
122,-96.000000,2960.000000
123,-100.000000,2960.000000
124,-100.000000,3000.000000
125,-100.000000,2960.000000
126,-104.000000,2960.000000
127,-100.000000,2960.000000
128,-96.000000,3000.000000
129,-96.000000,2960.000000
130,-76.000000,2960.000000
131,16.000000,2960.000000
132,80.000000,2960.000000
133,148.000000,2960.000000
134,188.000000,2960.000000
135,208.000000,2960.000000
136,224.000000,3000.000000
137,228.000000,3000.000000
138,164.000000,2960.000000
139,112.000000,2960.000000
140,68.000000,2960.000000
141,36.000000,2960.000000
142,8.000000,2960.000000
143,-16.000000,3000.000000
144,-32.000000,2960.000000
145,-44.000000,2960.000000
146,-52.000000,3000.000000
147,-64.000000,2960.000000
148,-72.000000,2960.000000
149,-72.000000,3000.000000
150,-84.000000,3000.000000
151,-84.000000,2960.000000
152,-84.000000,2960.000000
153,-88.000000,2960.000000
154,-88.000000,2960.000000
155,-92.000000,3000.000000
156,-92.000000,2960.000000
157,-96.000000,2960.000000
158,-92.000000,2960.000000
159,-100.000000,2960.000000
160,-100.000000,3000.000000
161,-96.000000,2960.000000
162,-96.000000,3000.000000
163,-96.000000,2960.000000
164,-100.000000,2960.000000
165,-104.000000,2960.000000
166,-100.000000,2960.000000
167,-96.000000,3000.000000
168,-96.000000,3000.000000
169,-100.000000,3000.000000
170,-104.000000,3000.000000
171,-100.000000,2960.000000
172,-96.000000,2960.000000
173,-96.000000,3000.000000
174,-104.000000,2960.000000
175,-100.000000,3000.000000
176,-104.000000,2960.000000
177,-100.000000,3000.000000
178,-96.000000,2960.000000
179,-104.000000,2960.000000
180,-96.000000,2960.000000
181,-96.000000,2960.000000
182,-104.000000,3000.000000
183,-100.000000,3000.000000
184,-96.000000,3000.000000
185,-96.000000,2960.000000
186,-96.000000,2960.000000
187,-100.000000,2960.000000
188,-100.000000,3000.000000
189,-100.000000,2960.000000
190,-100.000000,3000.000000
191,-100.000000,3000.000000
192,-100.000000,2960.000000
193,-96.000000,2960.000000
194,-96.000000,3000.000000
195,-100.000000,3000.000000
196,-96.000000,2960.000000
197,-100.000000,2960.000000
198,-96.000000,3000.000000
199,-100.000000,2960.000000
200,-96.000000,2960.000000
201,-96.000000,2960.000000
202,-104.000000,3000.000000
203,-100.000000,2960.000000
204,-100.000000,3000.000000
205,-100.000000,3000.000000
206,-96.000000,3000.000000
207,-104.000000,3000.000000
208,-96.000000,3000.000000
209,-100.000000,2960.000000
210,-100.000000,2960.000000
211,-96.000000,3000.000000
212,-100.000000,3000.000000
213,-100.000000,2960.000000
214,-100.000000,2960.000000
215,-104.000000,2960.000000
216,-100.000000,2960.000000
217,-96.000000,2960.000000
218,-100.000000,3000.000000
219,-100.000000,2960.000000
220,-100.000000,2960.000000
221,-96.000000,3000.000000
222,-100.000000,3000.000000
223,-100.000000,2960.000000
224,-96.000000,2960.000000
225,-104.000000,3000.000000
226,-100.000000,2960.000000
227,-100.000000,2960.000000
228,-104.000000,3000.000000
229,-100.000000,2960.000000
230,-100.000000,3000.000000
231,-96.000000,2960.000000
232,-96.000000,2960.000000
233,-96.000000,3000.000000
234,-100.000000,2960.000000
235,-96.000000,2960.000000
236,-100.000000,2960.000000
237,-96.000000,2960.000000
238,-100.000000,3000.000000
239,-100.000000,3000.000000
240,-100.000000,3000.000000
241,-100.000000,2960.000000
242,-96.000000,3000.000000
243,-100.000000,2960.000000
244,-92.000000,2960.000000
245,-96.000000,2960.000000
246,-100.000000,2960.000000
247,-96.000000,2960.000000
248,-104.000000,3000.000000
249,-96.000000,2960.000000
250,-100.000000,2960.000000
251,-96.000000,3000.000000
252,-100.000000,3000.000000
253,-100.000000,3000.000000
254,-100.000000,2960.000000
255,-100.000000,2960.000000
256,-104.000000,2960.000000
257,-96.000000,2960.000000
258,-100.000000,2960.000000
259,-100.000000,2960.000000
260,-96.000000,2960.000000
261,-104.000000,2960.000000
262,-104.000000,3000.000000
263,-100.000000,2960.000000
264,-100.000000,2960.000000
265,-96.000000,3000.000000
266,-96.000000,2960.000000
267,-100.000000,2960.000000
268,-104.000000,3000.000000
269,-100.000000,3000.000000
270,-96.000000,2960.000000
271,-96.000000,2960.000000
272,-96.000000,3000.000000
273,-104.000000,2960.000000
274,-104.000000,2960.000000
275,-100.000000,2960.000000
276,-104.000000,2960.000000
277,-100.000000,2960.000000
278,-96.000000,3000.000000
279,-100.000000,3000.000000
280,-100.000000,3000.000000
281,-96.000000,2960.000000
282,-100.000000,3000.000000
283,-96.000000,2960.000000
284,-100.000000,3000.000000
285,-96.000000,3000.000000
286,-100.000000,3000.000000
287,-100.000000,2960.000000
288,-96.000000,3000.000000
289,-96.000000,2960.000000
290,-96.000000,2960.000000
291,-100.000000,2960.000000
292,-100.000000,3000.000000
293,-100.000000,3000.000000
294,-100.000000,2960.000000
295,-100.000000,2960.000000
296,-100.000000,3000.000000
297,-100.000000,3000.000000
298,-96.000000,2960.000000
299,-96.000000,3000.000000
300,-104.000000,3000.000000
301,-92.000000,2960.000000
302,-96.000000,3000.000000
303,-96.000000,3000.000000
304,-100.000000,3000.000000
305,-104.000000,2960.000000
306,-96.000000,2960.000000
307,-96.000000,3000.000000
308,-96.000000,3000.000000
309,-96.000000,2960.000000
310,-100.000000,2960.000000
311,-100.000000,2960.000000
312,-100.000000,2960.000000
313,-100.000000,2960.000000
314,-100.000000,2960.000000
315,-100.000000,2960.000000
316,-96.000000,3000.000000
317,-100.000000,2960.000000
318,-104.000000,3000.000000
319,-100.000000,3000.000000
320,-100.000000,2960.000000
321,-100.000000,2960.000000
322,-96.000000,2960.000000
323,-100.000000,2960.000000
324,-96.000000,2960.000000
