noise_est=5.853449636106234e-08, dc_offset=1.612073788237467e-06, n_samples=4096
noise_est=6.329710089403306e-08, dc_offset=2.54692940870882e-06, n_samples=4095
noise_est=5.3669019450808264e-08, dc_offset=2.5949018436222104e-06, n_samples=4096
noise_est=7.271280111353917e-08, dc_offset=4.113210252398858e-06, n_samples=4095
noise_est=6.174958855353907e-08, dc_offset=1.54246390593471e-06, n_samples=4096
noise_est=6.900949500732168e-08, dc_offset=3.016866685356945e-06, n_samples=4095
noise_est=6.859998791242106e-08, dc_offset=2.376883912802441e-06, n_samples=4096
noise_est=7.297391135807629e-08, dc_offset=2.133193675035727e-06, n_samples=4095
noise_est=8.154560049433712e-08, dc_offset=1.2719043525066809e-06, n_samples=4096
noise_est=7.133845514317727e-08, dc_offset=7.176910230555222e-07, n_samples=4095
noise_est=6.746166292259659e-08, dc_offset=1.5387879557238193e-06, n_samples=4096
noise_est=5.986267126445455e-08, dc_offset=1.1675650739562116e-06, n_samples=4080
noise_est=6.965853316387438e-08, dc_offset=1.3004913625991321e-06, n_samples=4111
noise_est=5.779521572435442e-08, dc_offset=1.792652710719267e-06, n_samples=4095
noise_est=5.95987330598291e-08, dc_offset=2.292287263117032e-06, n_samples=4096
noise_est=4.967849775994182e-08, dc_offset=1.6592380234214943e-06, n_samples=4095
noise_est=5.3343626404966926e-08, dc_offset=3.191092673660023e-06, n_samples=4096
noise_est=5.714766970754681e-08, dc_offset=2.5697072487673722e-06, n_samples=4095
noise_est=5.622338150601536e-08, dc_offset=1.0346701628805022e-06, n_samples=4096
noise_est=6.550245501557583e-08, dc_offset=3.522854058246594e-06, n_samples=4095
noise_est=5.681761194864521e-08, dc_offset=3.346978473928175e-06, n_samples=4096
noise_est=6.214898462530982e-08, dc_offset=5.882696996195591e-07, n_samples=8191
noise_est=6.08571610882791e-08, dc_offset=1.9322485513839638e-06, n_samples=4095
noise_est=5.844341544047893e-08, dc_offset=9.849518534110757e-08, n_samples=4096
noise_est=5.1320760974249424e-08, dc_offset=2.4779612886050018e-06, n_samples=4095
noise_est=5.976922068384738e-08, dc_offset=3.7334691569412826e-06, n_samples=4096
noise_est=6.058580481749232e-08, dc_offset=1.4207579397407244e-06, n_samples=4095
