noise_est=1.1406150406401139e-06, dc_offset=4.078130132256774e-06, n_samples=4096
noise_est=1.097418817153084e-06, dc_offset=6.301169833022868e-06, n_samples=4095
noise_est=1.1362919849489117e-06, dc_offset=8.740959856368136e-06, n_samples=4096
noise_est=2.4129217308654916e-06, dc_offset=0.0003506806679069996, n_samples=4095
noise_est=0.04610045626759529, dc_offset=0.00020960505935363472, n_samples=4096
noise_est=0.06239735707640648, dc_offset=0.0006600975175388157, n_samples=4095
noise_est=0.061587732285261154, dc_offset=0.0007335135596804321, n_samples=4096
noise_est=0.06088633090257645, dc_offset=0.0024807723239064217, n_samples=4095
noise_est=0.0628841295838356, dc_offset=0.0014553350629284978, n_samples=4096
noise_est=0.051362063735723495, dc_offset=0.0007349781808443367, n_samples=4095
noise_est=0.04279804974794388, dc_offset=0.002799088368192315, n_samples=4096
noise_est=0.04402000084519386, dc_offset=0.0018947338685393333, n_samples=4095
noise_est=0.04311540722846985, dc_offset=0.0007452952559106052, n_samples=4096
noise_est=0.04278264939785004, dc_offset=0.0003775075019802898, n_samples=4095
noise_est=0.044007137417793274, dc_offset=0.00048101175343617797, n_samples=4096
noise_est=0.04498131573200226, dc_offset=0.0008364079985767603, n_samples=4095
noise_est=0.04325493797659874, dc_offset=0.0020114323124289513, n_samples=4096
noise_est=0.012754647992551327, dc_offset=0.001143918838351965, n_samples=4095
noise_est=1.1828610695374664e-06, dc_offset=5.851282821822679e-06, n_samples=4096
noise_est=1.1900485787919024e-06, dc_offset=2.353177023906028e-06, n_samples=4095
noise_est=1.2384372212181916e-06, dc_offset=3.569763521227287e-06, n_samples=4096
noise_est=1.2407625717969495e-06, dc_offset=2.7315661554894177e-06, n_samples=4095
noise_est=1.2300911294005346e-06, dc_offset=9.951778338290751e-06, n_samples=4096
noise_est=1.0897990705416305e-06, dc_offset=2.055335926343105e-06, n_samples=4095
noise_est=1.1686522611853434e-06, dc_offset=1.5806286683073267e-05, n_samples=4096
noise_est=3.525907914081472e-06, dc_offset=1.20730692287907e-05, n_samples=4095
noise_est=1.1726932598321582e-06, dc_offset=3.6745502711710287e-06, n_samples=4096
noise_est=1.1843626452900935e-06, dc_offset=1.219545265485067e-05, n_samples=4095
noise_est=1.2039461125823436e-06, dc_offset=4.291106961318292e-06, n_samples=4096
noise_est=1.2084648233212647e-06, dc_offset=5.083680662210099e-06, n_samples=4095
noise_est=1.2115099252696382e-06, dc_offset=4.662924311560346e-06, n_samples=4096
noise_est=1.2052154261255055e-06, dc_offset=6.291721092566149e-06, n_samples=4095
noise_est=1.2596894976013573e-06, dc_offset=9.80145159701351e-06, n_samples=4096
noise_est=1.1327240372338565e-06, dc_offset=5.601396424026461e-06, n_samples=4095
noise_est=1.2020107078569708e-06, dc_offset=5.110518031870015e-06, n_samples=4096
noise_est=1.169548795587616e-06, dc_offset=2.1574799120571697e-06, n_samples=4095
noise_est=1.2128389244026039e-06, dc_offset=4.2949491216859315e-06, n_samples=4096
noise_est=1.2505593076639343e-06, dc_offset=2.4670673610671656e-06, n_samples=4095
noise_est=1.1618797088885913e-06, dc_offset=7.6111646194476634e-06, n_samples=4096
noise_est=1.1479706927275402e-06, dc_offset=1.5495214711336303e-06, n_samples=4095
noise_est=1.0519552233745344e-06, dc_offset=5.465496087708743e-06, n_samples=4096
noise_est=1.1350133490850567e-06, dc_offset=8.620933840575162e-06, n_samples=4095
noise_est=1.2280227110750275e-06, dc_offset=8.713564966456033e-06, n_samples=4096
noise_est=1.2464207657103543e-06, dc_offset=2.5457234187342692e-06, n_samples=4095
noise_est=1.0471549103385769e-06, dc_offset=4.86285944134579e-06, n_samples=4096
noise_est=1.1316678865114227e-06, dc_offset=1.5617557437508367e-05, n_samples=4095
noise_est=1.1236028285566135e-06, dc_offset=4.997559699404519e-06, n_samples=4096
noise_est=1.1642722483884427e-06, dc_offset=6.558104814757826e-06, n_samples=4095
noise_est=1.2153974466855288e-06, dc_offset=5.4614697546639945e-06, n_samples=4096
noise_est=1.2503255675255787e-06, dc_offset=1.3334323739400133e-05, n_samples=4095
noise_est=1.1814164508905378e-06, dc_offset=4.754590918309987e-06, n_samples=4096
noise_est=1.1583184686969616e-06, dc_offset=4.116513991903048e-06, n_samples=4095
noise_est=1.1496048273329507e-06, dc_offset=6.118803867138922e-06, n_samples=4096
noise_est=1.1633069334493484e-06, dc_offset=1.8284990801475942e-06, n_samples=4095
noise_est=1.1721806458808715e-06, dc_offset=3.149745680275373e-06, n_samples=4096
